Description,Co-ordinates
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811005097961136, 144.95862163735288)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.82022017744959, 144.94480746086566)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81767138974231, 144.9462535088493)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81992693832316, 144.94314585668042)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Eastwood and Rankins Park,"(-37.79407412774661, 144.93082898880024)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80530265416531, 144.96955831322754)"
Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Argyle Square,"(-37.80282308235531, 144.96630068198394)"
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Royal Park,"(-37.79542994425931, 144.95202812794676)"
Drinking fountain - Historic or Heritage fountains - Royal Park,"(-37.78205389103602, 144.95697021635434)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81942840031672, 144.94578822758686)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.78615201108828, 144.95349293828525)"
Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,"(-37.78866797179563, 144.96246173875772)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.809593623030885, 144.96424038761432)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8155172600938, 144.9398949065424)"
Drinking Fountain - Old Style Steel Drinking Fountain,"(-37.816927072109706, 144.9837045105586)"
Drinking Fountain - Drinking Fountain - Type 2 - Birrarung Marr,"(-37.818466012455424, 144.97388211503446)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.814969228345504, 144.96035042039261)"
Drinking Fountain - Treated Timber Drinking Fountain - Gardiner Reserve,"(-37.798857838478696, 144.9439962130351)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.79638204424905, 144.94644465589985)"
Drinking Fountain - Treated Timber Drinking Fountain - Pleasance Gardens,"(-37.796300658626926, 144.94502857293458)"
Drinking Fountain - Treated Timber Drinking Fountain - Kings Domain,"(-37.828809493040296, 144.97413127261856)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.79515817674436, 144.9710380792056)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.777338983137255, 144.95327800561608)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Grant Street Reserve,"(-37.826019122772884, 144.96821302911962)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81818027452629, 144.97128244641144)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81932147571993, 144.94249797871333)"
Drinking fountain - Historic or Heritage Drinking Fountains - Victoria Green,"(-37.82012801999004, 144.94484546150136)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.79639356481317, 144.9464489931069)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8148665286666, 144.979341237583)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.812710697465654, 144.96535589295792)"
Drinking fountain - unspecified type - Gardiner Reserve,"(-37.7989933421049, 144.94335952463908)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.814022713257685, 144.96377589639772)"
Drinking fountain - Historic or Heritage Drinking Fountains - Boyd Community Hub (SOUTHBANK),"(-37.82553356070186, 144.96099800648864)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81655981940826, 144.958479412123)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81191194838843, 144.97076931535327)"
Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,"(-37.795118666338084, 144.95091878885694)"
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.81337112781817, 144.94357125504956)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81506309138495, 144.96899203807533)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.807152962975586, 144.95128617901676)"
Drinking fountain - Historic or Heritage Drinking Fountains - JJ Holland Park,"(-37.79745516285821, 144.92349296059965)"
Drinking Fountain - Drinking Fountain - Type 2 - Stock Route Reserve (KENSINGTON),"(-37.78858107833513, 144.9262313297776)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81237811232576, 144.96521212904446)"
Drinking Fountain - Leaf Type - Dog Bowl - Fawkner Park,"(-37.843405472059246, 144.9823703451879)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80218636204077, 144.97111015985016)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82449321904346, 144.945698116347)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81099949197208, 144.99096539168528)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.802215372127485, 144.96301319081624)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.812116364293914, 144.96242655579448)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.79125129687361, 144.93147576642454)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81607983975034, 144.93862697161046)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811050947085775, 144.96714245008525)"
Drinking Fountain - Treated Timber Drinking Fountain - Peppercorn Park,"(-37.79256416270773, 144.922630804458)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81386555249958, 144.96475087670643)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.813703464993914, 144.96524821218875)"
Drinking fountain - Historic or Heritage Drinking Fountains - Princes Park,"(-37.77990316842913, 144.96103894553204)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.80696316737549, 144.97097533310074)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.814286786699014, 144.94481901237222)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.80596124931496, 144.97143107579004)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.818939263478214, 144.94348692912953)"
Drinking Fountain - Drinking Fountain - Type 2 - Princes Park,"(-37.78516928275589, 144.9629960270774)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.8200996090771, 144.96520412105647)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81906773607154, 144.95451978482612)"
Drinking fountain - Historic or Heritage Drinking Fountains - Alexandra Park,"(-37.82714363173693, 144.98492036431875)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.80633683559588, 144.9590744803669)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.809316361164214, 144.95453335359068)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81378184056998, 144.94225864282328)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8213916576197, 144.94536775680646)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.81367564418339, 144.98268520584864)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81033905955521, 144.9724239787079)"
Drinking Fountain - Treated Timber Drinking Fountain - Shrine Gardens,"(-37.83081555124981, 144.97427512305256)"
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.815397268275994, 144.94056198429413)"
Drinking Fountain - Treated Timber Drinking Fountain - Ievers Reserve,"(-37.79634473440512, 144.95295625926101)"
Drinking fountain - unspecified type - Alexandra Park,"(-37.827924925554626, 144.98354503295144)"
Drinking Fountain - Leaf Type - Dog Bowl - Fawkner Park,"(-37.839918521598555, 144.9812959600913)"
Drinking fountain - Historic or Heritage Drinking Fountains - Shrine Gardens,"(-37.83249800027375, 144.97285892460977)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82325678383938, 144.94176986279075)"
Drinking Fountain - Treated Timber Drinking Fountain - Birrarung Marr,"(-37.81877097793573, 144.97408155357158)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81331469375451, 144.9666513135716)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.810693329155406, 144.983071937749)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.77874396844592, 144.9527310464918)"
Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,"(-37.798924491881245, 144.92595592847908)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81370900165242, 144.96521920731234)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,"(-37.787145044550506, 144.95944649397603)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.79275280598382, 144.96844335889637)"
Drinking Fountain - Wooden Slat Supports,"(-37.78868612003931, 144.9624220635874)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80899368753833, 144.9728686722591)"
Drinking fountain - Historic or Heritage Drinking Fountains - Shrine Gardens,"(-37.832243003760865, 144.97302849826244)"
Drinking Fountain - Concrete Drinking Fountain,"(-37.77845421707277, 144.95603509792244)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.800491981075275, 144.96374391208968)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82051269611414, 144.94396083541395)"
Drinking fountain - unspecified type - Royal Park,"(-37.780205363639304, 144.95293574839906)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.803371100927336, 144.96636401763817)"
Drinking Fountain - Leaf Type - Dog Bowl  - Newmarket Reserve,"(-37.78784948378831, 144.92456233354102)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.80626983275522, 144.95806339729006)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.811115148970096, 144.96662794395766)"
Drinking Fountain - Stainless Steel Drinking Fountain - Queensbridge Sq Type,"(-37.82099191418598, 144.9617423793966)"
Drinking Fountain - Concrete & Steel Drinking Fountain,"(-37.813798995578786, 144.9710663791828)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82006369883412, 144.94335006764553)"
Drinking fountain - Historic or Heritage Drinking Fountains - Warun Biik Park,"(-37.79622591094481, 144.92675323715673)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.818393312901414, 144.94467796351668)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.814436444048496, 144.97774297882825)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82118364784823, 144.94645141030063)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.78533232662653, 144.9534737646951)"
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.82114510296565, 144.94298366417019)"
Drinking Fountain - Treated Timber Drinking Fountain - Fawkner Park,"(-37.837913044811074, 144.9818740242421)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81775113289117, 144.9668727624917)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.812430045460935, 144.96501543858767)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.78073362802901, 144.9510902906501)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.777124890749405, 144.95150670643167)"
Drinking Fountain - Treated Timber Drinking Fountain - Sturt Street Reserve,"(-37.829762043290245, 144.9650239066239)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Shrine of Remembrance Reserve,"(-37.829394894475676, 144.97402641133465)"
Drinking Fountain - Leaf Type - Dog Bowl  - Clayton Reserve,"(-37.79690982991827, 144.93887017448856)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82842091627398, 144.98460191449672)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.83070221524304, 144.9761109167101)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80443768421831, 144.96343052616893)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.789426340332234, 144.92521601291634)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.79166434549512, 144.95175691050537)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.82340947086067, 144.94065316721642)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.824322515713405, 144.9770544813023)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.810438177722986, 144.96409803572945)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.79206873155685, 144.9297513827727)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens North,"(-37.80241728553812, 144.97202290316702)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.80719483579952, 144.97264821832775)"
Drinking fountain - Historic or Heritage fountains - University Square,"(-37.80148629857604, 144.96021621841106)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.793822787803755, 144.958038101861)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811816918335545, 144.9647358013035)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81678974689995, 144.96933696934119)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.817906690815356, 144.96632571147111)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.815691536791896, 144.98226715782863)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81047950700537, 144.96434622822136)"
Drinking Fountain - Treated Timber Drinking Fountain - Batman Park,"(-37.82220232720067, 144.956603131736)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80056485451508, 144.9668454274885)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.786066078340596, 144.9630916527486)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.819376190936254, 144.96425791163875)"
Drinking Fountain - Treated Timber Drinking Fountain - Parkville Gardens (PARKVILLE),"(-37.779553322018664, 144.93984653851456)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Neill Street Reserve,"(-37.794860401126186, 144.97032531494713)"
Drinking Fountain - Leaf Type - Dog Bowl  - Fawkner Park,"(-37.8386331437282, 144.97805941362765)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.813705889407565, 144.9749027278744)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Ron Barassi Senior Park,"(-37.81714667057808, 144.93410355599931)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81515985140142, 144.93712549711364)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82000241423202, 144.9437625580217)"
